S.NO, Name,Movie,Avg E,Avg H,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Mean_SC0,Mean_SC1,Mean_SC2,Mean_SC3,Mean_SC4,Mean_SC5,Mean_SC6,SD_SC0,SD_SC1,SD_SC2,SD_SC3,SD_SC4,SD_SC5,SD_SC6,Mean_Centroid,SD_Centroid,Mean_Flatness,SD_Flatness,PeakDensity,Tempo
120,Velli Malare,Jodi,0.333333333,0.5,-0.023259703,0.024167344,0.005231747,0.009985096,0.021362934,-0.01503382,-0.006084767,0.007299939,0.057936543,-0.046801183,0.0097417,-0.011866904,-0.046775004,0.382947656,0.359635718,0.40131752,0.386471788,0.426662733,0.298940258,0.360092639,0.130846298,0.167856053,0.170262704,0.174816426,0.178573969,0.143276271,0.156324955,0.418200106,0.224852266,0.07131014,0.099634536,5.699678801,112.3471467
121,Endrendrum Punnagai,Alaipaayudhey,0.583333333,0.666666667,-0.029615484,0.017943321,0.003715535,-0.034775352,0.013817144,-0.053525235,-0.026065218,-0.023767572,-0.027689033,-0.033609615,0.012362318,-0.085103234,-0.022510584,0.357611282,0.389779752,0.356180539,0.387913766,0.387554401,0.296060779,0.523305863,0.149277296,0.159230935,0.140206833,0.175606674,0.186309892,0.187296597,0.238217533,0.525386132,0.201220574,0.1171755,0.18883908,4.207756233,112.3471467
122,Aathangara Marame,Kizhakku Cheemaiyile,0.5,0.583333333,-0.032076734,-0.065233383,-0.026866163,-0.010021048,-0.059552537,-0.09352058,0.066219345,-0.121029219,-0.017032944,0.041043469,-0.024118408,-0.071718764,-0.041705267,0.352774745,0.381415886,0.451791776,0.407815805,0.452664357,0.356371897,0.471234062,0.138507258,0.172616568,0.170135646,0.181099213,0.18862907,0.164571066,0.114288993,0.374628062,0.121106274,0.07540381,0.11619146,4.227480219,123.046875
123,Chotta Chotta,Taj Mahal,0.5,0.583333333,-0.029873518,0.008681793,-0.065985072,-0.05761437,-0.113886608,-0.09273135,-0.112743268,-0.159887258,-0.123393873,-0.121270049,-0.080545709,-0.044867737,0.003261828,0.467868082,0.478344223,0.42281298,0.45178195,0.565047679,0.463089387,0.400976243,0.171416869,0.155314604,0.155574466,0.17677373,0.159291286,0.184875469,0.106571937,0.289582303,0.183257231,0.04487545,0.07525846,3.853004292,95.703125
124,Iragai Pole,Nan Mahan Alla,0.416666667,0.75,-0.009271405,-0.042587607,-0.036163566,-0.031137612,-0.114237565,-0.079907024,-0.090185706,-0.068692844,-0.018669979,-0.048694577,-0.03352085,-0.066146059,-0.077997175,0.318454721,0.331790592,0.411030231,0.410243384,0.445678417,0.381227396,0.37358245,0.141890647,0.126182657,0.159053034,0.156215799,0.154462945,0.156819411,0.131619655,0.193575635,0.0998938,0.030801909,0.07607683,4.895529197,117.4538352
125,Dhavanipotta Deepavali,Sandakozhi,0.5,0.666666667,-0.015577693,-0.011595387,-0.024319518,-0.044109786,-0.040857087,-0.062730352,-0.009232085,-0.032207429,-0.018842377,-0.008940306,-0.025470116,-0.033935073,-0.005046711,0.246799539,0.388586769,0.2700514,0.402861855,0.38368433,0.284818096,0.449370782,0.107040459,0.170323395,0.125626434,0.159689103,0.16424036,0.158590192,0.11512183,0.282935678,0.141539361,0.089107774,0.13808155,5.29790146,112.3471467
126,Kan Pesum Vaarthaigal,7G Rainbow Colony,0.25,0.25,-0.024571263,0.032179972,0.01651197,-0.026244805,0.004307802,-0.040925001,0.006067153,-0.037605787,-0.016359467,0.023300227,-0.042694502,-0.017388152,-0.016295919,0.310943987,0.41987694,0.407203477,0.526810009,0.448009611,0.345365268,0.321364201,0.115786499,0.151634457,0.145301123,0.18063587,0.14520114,0.174473322,0.149449191,0.269259864,0.132025762,0.060024,0.12481487,4.862480858,80.74951172
127,Adada Mazhaida ,Paiyaa,0.5,0.75,-0.011285168,-0.023987752,-0.038426066,-0.005366021,-0.042795906,-0.020773954,0.004992439,-0.07035721,0.04167522,-0.001421812,-0.046248509,-0.03193724,-0.004522273,0.324802847,0.384675183,0.428671313,0.437530581,0.404076986,0.292544408,0.381264019,0.121045092,0.150658896,0.17082815,0.128195848,0.163127429,0.157431751,0.076260259,0.273987512,0.147213862,0.0814415,0.11949937,5.49060495,117.4538352
128,Arabu Naade,Thottal Poo Malarum,0.333333333,0.666666667,-0.022957741,0.0075482,-0.014792988,0.015321046,-0.007873983,0.007642833,0.01790121,-0.031687756,0.026991941,0.002829147,-0.057738577,-0.042298731,-0.033058204,0.274120238,0.423445078,0.427827172,0.440603349,0.389032664,0.386173322,0.379758265,0.119292086,0.153543625,0.188611283,0.177070735,0.168176478,0.160310211,0.07838693,0.324386863,0.163568357,0.08193063,0.13864057,4.528065105,112.3471467
129,Idhu Varai,Goa,0.416666667,0.333333333,-0.013894005,0.001104233,-0.028727227,0.014340403,-0.059899825,0.045805779,0.008255869,-0.065408248,0.017701892,-0.058253287,0.006388078,0.010819297,0.03414392,0.291638057,0.429405818,0.354808978,0.444208063,0.420554603,0.365116862,0.468767727,0.116524111,0.162657566,0.136005936,0.184911272,0.184993223,0.191193512,0.104053687,0.403029872,0.204884722,0.052513618,0.11682371,5.02835131,78.30255682
130,Mun Paniya,Nandha,0.25,0.416666667,-0.015398547,-0.000275475,-0.01843864,0.027132131,-0.019968116,-0.07580036,0.046913614,-0.032214587,-0.026765931,0.01463783,-0.047118171,-0.048921918,-0.010476612,0.402281833,0.467153799,0.438066834,0.376845117,0.421393297,0.347609229,0.537419797,0.138002851,0.169853343,0.14988909,0.156352512,0.16301351,0.14466577,0.126163426,0.227340622,0.119734881,0.053242378,0.101023525,4.097014925,117.4538352
131,Oru Kal Oru Kannadi,SMS,0.5,0.25,-0.011937091,-0.042752358,-0.031535166,-0.032404776,-0.054471998,-0.031931967,-0.044520073,-0.079894179,-0.017368283,-0.02934723,-0.022389825,-0.008268584,-0.021773643,0.366273591,0.468076324,0.417523915,0.533547178,0.430821553,0.449867676,0.473838118,0.129900217,0.15455062,0.131010122,0.154764465,0.136359715,0.169870717,0.156783699,0.186294194,0.145457746,0.056180418,0.13247912,3.448513472,117.4538352
132,Poongatre Poongatre,Paiyaa,0.583333333,0.666666667,-0.030977284,-0.003596242,0.019096582,0.004028614,-0.007167706,-0.017661879,0.004534099,-0.02793021,-0.006667075,-0.02074417,-0.031478181,-0.036201204,0.001094313,0.28191468,0.427096709,0.408033627,0.412749051,0.398382463,0.319133375,0.530269286,0.114119287,0.14893257,0.152292259,0.139561097,0.154991421,0.12526753,0.094025805,0.378818454,0.19518835,0.13563979,0.19231214,6.82339939,117.4538352
133,Siragugal,Sarvam,0.5,0.75,-0.023821041,-0.033415861,-0.00311468,-0.010656921,-0.032272832,-0.040907342,0.04063779,-0.006039489,0.026292376,-0.012762339,-0.009464344,-0.018979042,0.006587352,0.242957597,0.42042618,0.391256677,0.416886098,0.47664107,0.356126165,0.360273689,0.112808609,0.162081449,0.168097107,0.177948258,0.205472617,0.162257891,0.09695772,0.247149426,0.107695771,0.081618115,0.10893493,5.735549133,172.265625
134,Thuli Thuli ,Paiyaa,0.5,0.833333333,-0.018450255,0.000528063,-0.021792049,-0.023570088,-0.052344385,-0.05149434,-0.006166836,-0.039051719,-0.031347468,-0.039843611,-0.051255951,-0.023828866,-0.012962453,0.34840281,0.3601772,0.464849345,0.436142782,0.378886508,0.331285673,0.370046469,0.135191803,0.144597285,0.166855297,0.186983293,0.169983072,0.144267262,0.12006104,0.314928758,0.187089801,0.09735576,0.15685013,4.2,123.046875
135,Yaaro Yaaro,Maatran,0.166666667,0.083333333,-0.022898732,0.02904394,0.000410719,-0.002672658,-0.06544515,-0.051422345,-0.041092307,-0.11043705,-0.005520948,0.024099356,-0.047675556,-0.038894518,-0.033557054,0.44433678,0.446308364,0.373887657,0.419126,0.445855321,0.486505621,0.573687755,0.12811553,0.166727719,0.140303239,0.179701806,0.170998403,0.166053331,0.106819111,0.312817244,0.128522775,0.044504657,0.09355714,3.726951444,151.9990809
136,Yaaro  ,Dhaam Dhoom,0.166666667,0.166666667,-0.003334315,0.062786853,-0.002413079,0.004480377,-0.067247369,-0.019737026,-0.022655907,-0.065425325,-0.02864836,-0.062587111,-0.041016013,-0.043674304,-0.035716554,0.210671786,0.413220287,0.376998731,0.434554963,0.315845465,0.293537912,0.36618091,0.083043597,0.171945204,0.164138574,0.181419612,0.143442979,0.175753175,0.133729843,0.243335122,0.163114995,0.02947298,0.0733499,4.491041348,83.35433468
137,Venmegam Pennaga,Yaaradi Nee Mohini,0.25,0.333333333,-0.018370826,0.057202735,0.020286536,-0.005404008,-0.009005802,-0.056167343,0.028421939,-0.045124549,-0.037235439,-0.008964086,-0.03959231,-0.042794247,-0.014457935,0.354061164,0.429720853,0.446838753,0.464605889,0.462979157,0.467293947,0.449057153,0.098541942,0.15220897,0.134323242,0.165499133,0.136388974,0.128349494,0.093533849,0.288865693,0.162065589,0.0569608,0.109022126,4.717298289,112.3471467
138,Aadadha Aatamellam,Mounam Pesiyadhe,0.416666667,0.416666667,-0.030767604,0.002286735,-0.045882595,-0.004037119,-0.055815718,-0.048407802,0.031851133,-0.089867717,-0.011088917,9.02E-05,-0.056964061,-0.082906016,-0.023866285,0.207181151,0.301936638,0.386414239,0.415952969,0.383744787,0.393468559,0.448821563,0.090396914,0.133626443,0.167561674,0.174054197,0.186026414,0.208733366,0.105421239,0.414996976,0.177752977,0.119563796,0.16853605,5.067808219,89.10290948
139,Dhevadhaiyai Kanden,Kadhal Konden,0.416666667,0.333333333,-0.050516723,0.025238056,-0.002325041,0.074041349,0.011897742,-0.012880189,0.023895279,-0.022965284,0.023620875,0.00764053,-0.06061123,0.038536473,-0.092243585,0.378895842,0.464665008,0.446913945,0.402620151,0.37427644,0.375945443,0.379022116,0.148429762,0.186524646,0.184710225,0.16944994,0.17712455,0.20750442,0.130825575,0.367909981,0.199122481,0.05758886,0.12793237,5.149038462,112.3471467
140,Kanmoodi Thirakkum Pothu,Sachein,0.5,0.5,-0.026277209,-0.007697876,0.002292039,-0.032758849,0.002462274,-0.025957797,-0.010406701,-0.029853263,0.008380201,-0.010841299,-0.006622756,-0.026546874,-0.007598112,0.323903148,0.394366461,0.276777751,0.440381123,0.368039711,0.422439248,0.364265529,0.099237704,0.15224539,0.11278983,0.182821591,0.149280568,0.166837272,0.164372673,0.336205767,0.211298533,0.11048122,0.18777283,4.883646845,95.703125
141,Yaar Intha Pendhan,Boss Endra Baskaran,0.5,0.583333333,-0.020084259,0.011660282,0.0026775,0.02054852,-0.032565331,-0.033896439,0.041528384,-0.042845185,0.020305144,-0.006469129,-0.018610046,-0.014332211,-0.001739511,0.35397414,0.363675384,0.456550705,0.424530801,0.403061769,0.252012969,0.413238054,0.125393564,0.147817255,0.156892425,0.17254331,0.179460312,0.150545199,0.114149341,0.268793282,0.150261242,0.073228985,0.13666499,4.040575916,112.3471467
142,Mun Andhi,7aam Arivu,0.25,0.666666667,-0.013537889,0.049716055,-0.02277175,0.025306225,-0.045101804,-0.035499042,-0.045754521,-0.094064545,0.0152281,-0.007440707,0.003704208,-0.006579747,0.020487563,0.310455478,0.452690096,0.434142236,0.425204444,0.32740212,0.399363241,0.388213769,0.115529269,0.167417423,0.174065855,0.18570969,0.147628026,0.182327895,0.156635618,0.267678759,0.142883242,0.026275534,0.07228397,3.982599119,135.9991776
143,Mudhal Mazhai,Bheema,0.333333333,0.666666667,-0.005990282,0.045721734,0.032141985,0.020676039,-0.032678327,-0.038930724,0.025764509,-0.00907529,0.003828076,0.010389299,0.028823958,-0.000526493,0.00172916,0.354643455,0.338911423,0.399998377,0.43136554,0.340712128,0.218063931,0.57986847,0.143723306,0.130506469,0.163288815,0.19892244,0.164504145,0.125850404,0.088249535,0.252472309,0.155735962,0.031337097,0.07678415,2.952216066,112.3471467
144,Ondra Renda,Kaakha Kaakha,0.416666667,0.5,-0.036536786,0.044035807,-0.000493897,0.028162311,-0.044228264,0.027457878,-0.061120619,-0.037160959,-0.035008734,-0.047645523,-0.041393423,-0.036170644,-0.011515215,0.320325291,0.455183137,0.439764389,0.357704659,0.319352559,0.224760098,0.29329991,0.142363792,0.152035654,0.160123392,0.178564251,0.181845401,0.152883574,0.134361883,0.557797521,0.17151813,0.07198193,0.09121925,4.929060219,151.9990809
145,Paartha Mudhal Naale,Vettaiyadu Vilayadu,0.25,0.666666667,-0.039407841,0.029436985,-0.009932694,0.046405625,-0.026519357,0.031451024,0.006387208,-0.019562163,0.020453017,-0.018018773,-0.020474028,0.003056386,-0.008565702,0.40990023,0.486111421,0.402292993,0.366704093,0.354475279,0.18610175,0.343731989,0.122806829,0.170322405,0.166107083,0.19245748,0.17539104,0.131491618,0.13611547,0.43058265,0.158444078,0.11176685,0.17967676,4.473230628,107.6660156
146,Ennai Thaalata Varuvalo,Kadhaluku Mariyadhai,0.25,0.333333333,-0.010755959,-0.007169363,-0.016563599,-0.023530148,0.010490564,-0.00569482,0.003283668,-0.032800871,-0.001489843,0.058256761,0.031866245,-0.00340784,-0.011550433,0.299196424,0.412708146,0.506982827,0.449396511,0.406843725,0.352734379,0.362288448,0.130084861,0.141709017,0.15386037,0.152676214,0.154562449,0.1700605,0.130643876,0.315281031,0.225946927,0.08297067,0.18150002,4.540497254,117.4538352
147,Po Nee Po,3,0.333333333,0.166666667,-0.027539567,0.008302915,-0.031727735,-0.069186648,-0.022775838,-0.033412326,-0.018067671,-0.044818499,0.010270249,-0.020504694,-0.027989744,0.005636581,-0.027997087,0.301793012,0.377522533,0.456468791,0.470103954,0.462595493,0.457556457,0.42639857,0.114318719,0.133614021,0.159398682,0.177594741,0.166387895,0.178222808,0.133280556,0.490493804,0.172011855,0.069985606,0.13659936,4.033536585,89.10290948
148,Aasai Aasai,Dhool,0.5,0.666666667,-0.029292135,-0.008249943,0.012543017,-0.011856467,-0.028393712,-0.032318657,-0.010502422,-0.033897459,-0.001464779,-0.022874015,0.00755107,-0.019347662,0.006552177,0.297158033,0.403111422,0.503766133,0.536991433,0.423475962,0.332468856,0.403525307,0.118564926,0.149927465,0.15250533,0.188753069,0.201818323,0.172017043,0.114561588,0.308882965,0.103209658,0.1222343,0.14652699,3.877293578,89.10290948
149,Adiye Kolludhe,Vaaranam Aayiram,0.75,0.833333333,-0.025809735,0.008616772,0.014778201,-0.020481329,0.002520771,-0.045522496,0.01200532,-0.067107564,-0.027578634,-0.033489219,-0.043028573,-0.022902366,-0.020184078,0.356863729,0.361231218,0.426620953,0.423331205,0.330353967,0.217233155,0.440819825,0.127384282,0.139884196,0.173662241,0.15447236,0.163367449,0.140477846,0.110759189,0.448371788,0.160590749,0.12997372,0.13901597,3.221917808,117.4538352
150,Anbe En Anbe,Dhaam Dhoom,0.333333333,0.5,-0.011041293,0.00785231,-0.011927876,-0.027963141,-0.027648347,-0.000834045,0.032731529,-0.088972754,-0.029823824,0.004076819,-0.023179866,0.005833061,-0.016682628,0.391553696,0.500530588,0.391230951,0.518576305,0.426389815,0.31963808,0.430210438,0.135736634,0.150917654,0.149843334,0.184774507,0.177476954,0.148212312,0.136867261,0.36920488,0.18229897,0.05331184,0.13026777,3.69966443,123.046875
151,Anbil Avan,Vinnaithaandi Varuvayo,0.583333333,0.75,-0.028820122,-0.022598394,-0.00830684,-0.016133661,-0.023649502,-0.029178813,-0.001219039,-0.025364019,-0.005519137,-0.001069408,0.019117945,0.000884363,0.010110579,0.270934793,0.451908829,0.397798692,0.370501713,0.364340791,0.344855675,0.627756787,0.120466443,0.172010988,0.140022871,0.151408314,0.152669269,0.170748144,0.095505396,0.287814596,0.119471997,0.16945648,0.1778626,5.037313433,135.9991776
152,Arjunar Villu,Ghilli,0.833333333,0.416666667,-0.035141653,-0.028476437,0.010488195,-0.019328265,-0.01882421,-0.052146106,0.00215138,-0.018052986,0.012857293,-0.005755757,-0.011932405,0.00490777,-0.001919138,0.265173955,0.368307892,0.348984582,0.334755247,0.307465588,0.26486819,0.437056404,0.113165053,0.153844998,0.1482257,0.176670035,0.158703445,0.17029952,0.137948207,0.314800725,0.111743677,0.21154656,0.17880534,5.042127072,99.38401442
153,Elangathu veesudhe,Pithamagan,0.333333333,0.666666667,-0.022589432,0.009772174,0.003986473,0.019732667,-0.021136468,-0.074464544,-0.026880558,-0.015391817,-0.029444218,-0.07108161,-0.031210848,-0.058389927,-0.038027927,0.281092097,0.406631989,0.406171567,0.413501857,0.415074107,0.37497091,0.361851246,0.112174527,0.152613715,0.1547478,0.184626028,0.174701022,0.165024456,0.127282379,0.368086302,0.194093695,0.056498766,0.1136952,4.996122263,143.5546875
154,Hasile Fisile,Aadhavan,0.583333333,0.75,-0.01969797,0.011875952,-0.014327635,-0.00970341,-0.073465358,-0.019596197,-0.051960973,-0.074513555,-0.029099347,-0.044663008,-0.02032657,-0.016463444,-0.03136231,0.306536907,0.473629256,0.453620899,0.483362629,0.506824115,0.420699473,0.489098633,0.121729639,0.149874475,0.146618117,0.169720516,0.166590573,0.20639532,0.157574885,0.343486235,0.145505293,0.06461692,0.10134408,4.983811851,95.703125
155,Hosana,Vinnaithaandi Varuvayo,0.583333333,0.583333333,-0.010571288,-0.027264885,-0.024360533,-0.03994422,-0.039699833,-0.048839461,-0.009669526,-0.026947885,-0.009784243,-0.03604366,-0.003008297,0.00140898,0.009734433,0.336536304,0.426405055,0.473576993,0.553823263,0.497891908,0.422677112,0.603120889,0.128938325,0.158337588,0.163339918,0.161161388,0.165897069,0.165120275,0.123512557,0.29125228,0.167398862,0.062236354,0.14559439,3.430452865,86.1328125
156,Innisai Paadi Varum,Thulladha Manamum Thullum,0.416666667,0.25,-0.027500417,-0.027372862,-0.006944916,-0.017100496,-0.024465928,-0.030588043,0.010606026,-0.040727593,-0.020473051,-0.028990021,-0.022439386,-0.025318964,-0.013112565,0.356239579,0.434608344,0.338751803,0.447147484,0.41330738,0.366021131,0.526711361,0.128448063,0.165478124,0.1163367,0.1484887,0.17469497,0.178126901,0.120185692,0.288976719,0.135775689,0.07479643,0.10249481,4.308777916,161.4990234
157,Kaadhal Vandhal,Iyarkai,0.25,0.166666667,-0.020353008,0.007782685,-0.001890004,0.026958215,0.00156231,-0.013551319,0.018885971,0.016160667,0.030424624,-0.002093622,-0.01046519,-0.026155053,0.008617764,0.331749326,0.417539218,0.399366917,0.438330083,0.46014836,0.345497212,0.571542542,0.121955706,0.169608996,0.16467669,0.194195031,0.157458153,0.198253086,0.12611032,0.307832402,0.134970107,0.06791184,0.08195884,4.426218204,151.9990809
158,Kacheri Kacheri,Kacheri Arambam,0.666666667,0.666666667,-0.020888688,-0.029767633,-0.0611319,-0.014843613,-0.009822215,-0.044467104,0.001650357,-0.021090183,-0.009618717,-0.022179825,-0.027182646,-0.025872654,-0.005659657,0.386974117,0.348613765,0.377964158,0.346649777,0.349344006,0.212310634,0.477095268,0.166483339,0.153958406,0.146689315,0.168003805,0.176752271,0.136944689,0.102871006,0.222872427,0.1092034,0.07702887,0.10371398,6.768555284,151.9990809
159,Kadavul Thantha,Mayavi,0.333333333,0.333333333,-0.019674216,0.037279397,0.006111052,-0.013860991,-0.050434649,-0.001385857,0.032343483,0.0248419,0.017181461,-4.35E-05,0.005980495,0.01017413,0.028113753,0.33182062,0.414702357,0.445902939,0.469389239,0.498077172,0.395243234,0.534276833,0.114080578,0.162402953,0.176596097,0.169914148,0.157510255,0.185457304,0.084325685,0.359812704,0.189322652,0.05312926,0.11570352,4.070556946,117.4538352
160,Mannipaaya,Vinnaithaandi Varuvayo,0.25,0.166666667,0.007250255,-0.015210066,-0.01857665,0.00897362,-0.072655864,-0.00956244,-0.028833982,-0.068146161,-0.022267425,-0.041551218,-0.009849582,-0.007773833,0.032365358,0.379523192,0.431274449,0.473959764,0.504756764,0.538439768,0.355520415,0.424787603,0.124933399,0.142671399,0.151488221,0.14074699,0.15501899,0.170529511,0.144605898,0.218520888,0.152605314,0.030479623,0.05619571,3.012665029,117.4538352
161,Nan Pogiren,Naanayam,0.333333333,0.583333333,-0.02305065,-0.019397082,-0.01279934,-0.06379771,-0.109995132,-0.095987347,-0.111963572,-0.129933458,-0.045127901,-0.034775218,-0.001882834,0.009109287,0.057927849,0.407364737,0.431165327,0.540049962,0.523104703,0.415201792,0.394298292,0.440011315,0.111846424,0.133999744,0.169920838,0.148117502,0.156427095,0.176221956,0.175135095,0.250649652,0.161760995,0.041330386,0.09158057,4.69963688,89.10290948
162,Nee Illai Endral,Dheena,0.583333333,0.583333333,0.007509993,-0.041977292,-0.012972038,-0.008387846,0.014652798,0.011038808,0.000711484,-0.029477067,-0.004341385,0.000160319,0.030380944,-0.024838446,0.018047441,0.332620945,0.381267077,0.450599359,0.454643048,0.411937779,0.322247116,0.521681908,0.134654305,0.154590077,0.164486695,0.166924413,0.167860366,0.151290133,0.134376169,0.364482619,0.172515743,0.044494934,0.10023919,3.423287671,129.1992188
163,Neela Vaanam,Manmadhan Ambu,0.083333333,0.416666667,-0.008796214,-0.02298117,-0.012107849,0.006494143,-0.04074463,-0.051742005,0.015237362,-0.070244688,7.94E-05,-0.033375255,-0.025945793,-0.029107723,-0.022795841,0.334019587,0.391779576,0.443534286,0.401230403,0.37696577,0.358161928,0.581526835,0.105319001,0.127176544,0.142701057,0.155760706,0.159565531,0.135364712,0.136588065,0.279200778,0.128091035,0.07468283,0.0977321,1.800138632,123.046875
164,Nenje Nenje,Ayan,0.5,0.5,7.05E-05,-0.034654723,0.0701779,-0.113217731,0.081940056,-0.128100508,0.113726122,-0.157969777,0.113656332,-0.103724456,0.054167304,-0.051738813,0.053835059,0.380659091,0.440995153,0.343949708,0.563092791,0.448836285,0.410293809,0.849310504,0.133400848,0.175881804,0.120667301,0.168193797,0.181949615,0.180709199,0.076847205,0.259302217,0.167217905,0.04744445,0.080950566,4.239090632,112.3471467
165,Oh Baby Oh Baby,Yaaradi Nee Mohini,0.583333333,0.333333333,-0.022380189,0.011187037,-0.021291447,-0.004102908,-0.056198264,0.02210438,-0.014642396,-0.014306458,0.002690255,-0.017485529,-0.000524645,0.031251755,0.022033077,0.403693596,0.33172641,0.370662258,0.515191516,0.474738855,0.346591679,0.5500156,0.106932731,0.151115226,0.157264651,0.16964031,0.161805068,0.17105307,0.140031242,0.327339851,0.12480906,0.08417767,0.11132515,5.493962091,99.38401442
166,Paakadha enna Paakadha,Aaru,0.25,0.166666667,-0.01815491,0.024610347,0.03936711,0.002283615,0.007078763,-0.02500311,0.005557381,-0.024920654,0.005273458,-0.013585012,-0.014568733,-0.039596791,-0.009276787,0.296225247,0.391156239,0.438626508,0.368171677,0.468701203,0.328918054,0.607022097,0.11899396,0.149270278,0.160801078,0.176086743,0.14529634,0.158742681,0.078903437,0.373757005,0.171081436,0.07933704,0.1339594,4.458269991,143.5546875
167,Pala Pala,Ayan,0.75,0.75,-0.016722524,-0.066320658,0.084494786,-0.06857333,0.152178246,-0.104697848,0.149171538,-0.127647336,0.102097541,-0.088281967,0.042658292,-0.070622536,-0.008090102,0.326857494,0.39713504,0.383798709,0.449664807,0.432091,0.332501872,0.834237665,0.122533447,0.155672922,0.168322142,0.170947613,0.170469578,0.15683351,0.080403918,0.459225762,0.156037951,0.13454588,0.16028309,6.535089066,129.1992188
168,Pesugiren Pesugiren,Satham Podathey,0.5,0.583333333,-0.027733639,-0.0091407,-0.060174112,-0.028624163,-0.082397013,-0.004885007,-0.023586853,-0.087392941,0.066353454,-0.051864021,0.004355245,0.033837846,0.009886361,0.37584523,0.453132733,0.425908001,0.497317208,0.378962426,0.363906765,0.368175448,0.132793373,0.198710997,0.168050456,0.208551942,0.175087052,0.194708758,0.138944751,0.316271104,0.158818291,0.090380386,0.17291215,4.627527574,151.9990809
169,Thaimaasam ,Majaa,0.75,0.75,-0.025140505,-0.032115965,0.003749038,-0.021426316,-0.012368636,-0.031213039,-0.00498187,-0.012437096,-0.013880496,-0.020844927,0.001503977,-0.015795365,-0.02025648,0.303854938,0.316602098,0.440342067,0.412745958,0.371957865,0.311820132,0.548967497,0.117748911,0.1551815,0.179493499,0.190704043,0.181395206,0.179906894,0.103627463,0.337113165,0.147398222,0.12296194,0.13165198,5.887135922,151.9990809
170,Thaamthakka Theemthakka,Thirumalai,0.833333333,0.75,-0.027566912,0.009264555,0.006372515,0.009890197,-0.004405695,0.003287709,0.06310514,-0.0255242,0.057118115,-0.009031662,0.000225447,-0.027436582,0.008960529,0.33703417,0.397237901,0.290356249,0.381398491,0.320643695,0.276077642,0.494917091,0.133430123,0.157348314,0.147901997,0.151605828,0.14897969,0.160144862,0.134324853,0.461308261,0.172311705,0.10815349,0.12422221,6.658497724,117.4538352
171,Uyire Uyire Piriyadhe,Santhosh Subramaniyam,0.25,0.083333333,-0.023308692,0.012993947,0.037142634,-0.012020315,-0.047106799,-0.045699051,0.022925542,-0.017690381,0.015022347,0.000964975,0.008068887,0.001664252,-0.023589387,0.255170898,0.43173904,0.377473157,0.372185463,0.46184105,0.294793108,0.396416402,0.097633661,0.185354403,0.156824047,0.206075668,0.175584345,0.182242367,0.152711444,0.367803056,0.187157877,0.06399949,0.12751979,4.31559633,89.10290948
172,Yedho Ondru,Lesa Lesa,0.166666667,0.25,-0.043187947,0.01203067,-0.040338303,-0.018891737,-0.040089053,-0.055452533,-0.008525349,-0.025622764,-0.006017401,-0.038226555,-0.034467441,-0.020424929,-0.036138705,0.394055325,0.430218711,0.50485993,0.397214201,0.368006982,0.384692674,0.410706623,0.152089222,0.13033386,0.167279911,0.157677746,0.140484693,0.197981089,0.156945635,0.457013576,0.159658192,0.18492308,0.18645352,5.726837789,99.38401442
173,Yathe Yathe,Aadukalam,0.5,0.75,-0.015371083,0.001971325,-0.014465504,-0.010240594,-0.051976864,-0.043590915,-0.003041028,-0.041752505,0.02190282,0.051708135,-0.007626877,-0.025937991,-0.015838934,0.316439116,0.425580898,0.427190129,0.477780982,0.429224135,0.33543576,0.476219674,0.082739251,0.172524635,0.162166748,0.163592776,0.187558505,0.151504308,0.120417851,0.296443156,0.151507965,0.06425102,0.10188289,4.166129032,143.5546875
174,Vizhi Moodi,Ayan,0.5,0.666666667,-0.01049302,-0.044340674,0.090490097,-0.089656788,0.12473292,-0.154248942,0.125649434,-0.136988726,0.069408205,-0.085766862,0.023508103,-0.064308135,-0.003386188,0.421450394,0.418218061,0.428012704,0.42153316,0.298370911,0.334295843,0.809753553,0.131989182,0.149719522,0.159039917,0.172492246,0.14381791,0.172301148,0.09811429,0.425836448,0.165032383,0.06988194,0.10064327,3.741287068,123.046875
175,Kokkarakko ,Ghilli,0.75,0.733333333,-0.031202388,-0.035909268,-0.02870738,-0.023602854,-0.01644627,-0.028566855,-0.011100124,-0.028501295,0.011816052,0.004081953,-0.016392927,-0.026949091,-0.039260786,0.362342518,0.372281583,0.352023535,0.36928977,0.349215008,0.248538926,0.278055133,0.157293151,0.146742428,0.157794825,0.163711665,0.165454695,0.154628828,0.085664453,0.297258992,0.125170535,0.14491117,0.158033,5.395212766,123.046875
176,Nakka Mukka,Kadhalil Vilundhen,1,0.75,0.00101035,-0.047885663,-0.029764268,-0.035009292,-0.019055913,-0.017625888,-0.005547438,-0.032328962,6.57E-05,-0.035844894,-0.010914423,-0.020935287,0.003923343,0.349606067,0.266569878,0.386129057,0.353265395,0.380607235,0.276960568,0.647823758,0.114100621,0.11928825,0.153890443,0.142457859,0.16279749,0.126680717,0.108596338,0.40187592,0.169944289,0.12690274,0.1476212,6.727459016,95.703125
